,unique_id,metric,LSTM,ARH(1),n_day,difference
210,AP-AP,mae,957.1735104166668,472.16078270691577,15,485.012727709751
630,AP-AP,mae,741.5070460611979,286.9607610050046,43,454.5462850561933
240,AP-AP,mae,786.6275019531249,379.736674086123,17,406.8908278670019
120,AP-AP,mae,634.1194747721354,228.57039780470504,9,405.5490769674303
270,AP-AP,mae,649.76480859375,246.57173977088348,19,403.1930688228665
135,AP-AP,mae,536.8600257161457,140.8880937165455,10,395.9719319996002
540,AP-AP,mae,603.0260232747397,209.63789588767386,37,393.3881273870659
555,AP-AP,mae,652.621685546875,273.7937326738728,38,378.82795287300223
225,AP-AP,mae,741.6430696614583,368.95903266364917,16,372.68403699780913
15,AP-AP,mae,601.3689741210936,233.92205843010274,2,367.44691569099086
90,AP-AP,mae,474.1355485026042,111.01714112008096,7,363.11840738252323
105,AP-AP,mae,508.6971067708333,150.12669102653547,8,358.5704157442978
765,AP-AP,mae,522.2229968261719,170.57722753299717,52,351.6457692931747
435,AP-AP,mae,442.154287109375,99.31686589178958,30,342.8374212175854
465,AP-AP,mae,578.3368295898437,245.8620010757583,32,332.4748285140854
585,AP-AP,mae,449.89055647786444,131.10017029482444,40,318.79038618304
315,AP-AP,mae,684.5354238281251,381.051691970993,22,303.4837318571321
615,AP-AP,mae,601.1395372721354,298.79241516177046,42,302.3471221103649
255,AP-AP,mae,474.49040543619805,174.20822344578335,18,300.2821819904147
345,AP-AP,mae,427.4724833170573,148.11780167892383,24,279.35468163813346
195,AP-AP,mae,458.9191782226562,183.8411783424291,14,275.07799988022714
840,AP-AP,mae,368.61993066406245,104.07526136785418,57,264.54466929620827
600,AP-AP,mae,525.3426053059897,269.28589161195003,41,256.0567136940396
390,AP-AP,mae,389.07532568359375,149.92431306013873,27,239.15101262345502
375,AP-AP,mae,366.32813655598966,128.61663143640786,26,237.7115051195818
525,AP-AP,mae,422.30561971028646,196.59206911572656,36,225.7135505945599
75,AP-AP,mae,316.7909583333333,99.34990363749505,6,217.44105469583826
180,AP-AP,mae,527.5779012044269,310.3980368351112,13,217.17986436931568
945,AP-AP,mae,371.98393554687505,155.75090928867044,64,216.2330262582046
360,AP-AP,mae,314.9926346028646,99.52969400458134,25,215.46294059828324
930,AP-AP,mae,290.28982080078123,78.06996300693424,63,212.21985779384698
420,AP-AP,mae,368.8579311523438,172.60565338263282,29,196.25227776971096
645,AP-AP,mae,516.039640950521,322.40919819112383,44,193.6304427593971
60,AP-AP,mae,288.9809588216146,96.74569431185596,5,192.23526450975862
570,AP-AP,mae,622.0649850260417,433.87716642108376,39,188.1878186049579
795,AP-AP,mae,299.08875634765633,120.04243134462338,54,179.04632500303296
720,AP-AP,mae,282.5745393066407,105.05912019711927,49,177.51541910952142
150,AP-AP,mae,318.90540576171867,142.59931843042,11,176.30608733129867
330,AP-AP,mae,622.9943297526041,449.93502919518386,23,173.05930055742027
960,AP-AP,mae,347.0147045898438,185.47224480892126,65,161.54245978092254
510,AP-AP,mae,254.04656722005203,94.8301252271284,35,159.21644199292362
285,AP-AP,mae,337.756986328125,197.47726922649,20,140.279717101635
810,AP-AP,mae,219.1503946940105,112.9497349293949,55,106.2006597646156
495,AP-AP,mae,180.50518033854163,75.35285757708296,34,105.15232276145868
705,AP-AP,mae,187.76079215494795,99.3085310313784,48,88.45226112356956
855,AP-AP,mae,337.1186182454427,255.24505693607838,58,81.8735613093643
900,AP-AP,mae,233.96792578125,153.5146155551145,61,80.4533102261355
1080,AP-AP,mae,243.33979996744782,163.4508472846283,73,79.88895268281951
1050,AP-AP,mae,256.54173893229165,177.71992729859915,71,78.8218116336925
915,AP-AP,mae,333.0692661132813,258.1236905866558,62,74.94557552662548
735,AP-AP,mae,798.3822091471353,724.6303845078008,50,73.75182463933447
780,AP-AP,mae,347.24013069661464,276.39310029263675,53,70.8470304039779
480,AP-AP,mae,141.10027180989582,72.42108691847073,33,68.67918489142508
825,AP-AP,mae,233.76956331380202,166.77742944104824,56,66.99213387275378
1065,AP-AP,mae,360.48579264322916,294.0929742697492,72,66.39281837347994
45,AP-AP,mae,567.7009252929688,506.41520097403173,4,61.28572431893707
1035,AP-AP,mae,151.72934651692708,94.38386662629743,70,57.34547989062965
0,AP-AP,mae,372.8602449544271,320.0237585702867,1,52.836486384140414
690,AP-AP,mae,167.02049153645828,115.74369600011546,47,51.27679553634282
990,AP-AP,mae,214.5068912760416,164.637126727933,67,49.869764548108606
1020,AP-AP,mae,184.10868929036462,135.43248156051175,69,48.67620772985288
165,AP-AP,mae,739.8227757161458,691.6427129038124,12,48.180062812333404
405,AP-AP,mae,306.81742529296884,259.77104698351036,28,47.046378309458476
885,AP-AP,mae,173.0397666829427,129.44051074670324,60,43.59925593623947
750,AP-AP,mae,314.4462855631511,271.4844994524334,51,42.961786110717696
1005,AP-AP,mae,190.0395730794271,178.01067978670633,68,12.028893292720767
660,AP-AP,mae,758.4403920898436,750.6052688684985,45,7.835123221345157
675,AP-AP,mae,206.30077416992194,201.3947822523372,46,4.905991917584743
975,AP-AP,mae,239.42420800781255,256.7676838006417,66,-17.34347579282914
300,AP-AP,mae,267.7717628580729,289.4329437074792,21,-21.661180849406264
450,AP-AP,mae,201.45228694661455,386.91946923136993,31,-185.46718228475538
30,AP-AP,mae,260.21393050130206,464.374296611885,3,-204.1603661105829
870,AP-AP,mae,124.43632877604163,350.7911098447491,59,-226.35478106870744
