,unique_id,metric,LSTM,ARH(1),n_day,difference
213,DOM-DOM,mae,2227.0760449218747,853.4568950748207,15,1373.619149847054
618,DOM-DOM,mae,2663.3148079427083,1468.5641702910873,42,1194.750637651621
468,DOM-DOM,mae,2022.962654622396,1068.1080769505086,32,954.8545776718875
543,DOM-DOM,mae,1356.0086425781249,521.6389422813336,37,834.3697002967913
438,DOM-DOM,mae,1149.7341487630208,338.73166841527944,30,811.0024803477413
558,DOM-DOM,mae,1316.2001611328124,508.1843812844786,38,808.0157798483338
123,DOM-DOM,mae,1350.3389423828123,561.4978248557876,9,788.8411175270247
228,DOM-DOM,mae,1700.8511767578123,914.597969230775,16,786.2532075270373
138,DOM-DOM,mae,1358.0653932291664,586.8430026657289,10,771.2223905634374
108,DOM-DOM,mae,1162.1144391276046,439.3539304110043,8,722.7605087166003
603,DOM-DOM,mae,1123.6268033854165,436.67648485216586,41,686.9503185332505
423,DOM-DOM,mae,970.037644856771,291.3440494465542,29,678.6935954102167
948,DOM-DOM,mae,935.7613245442708,265.5891796922668,64,670.1721448520041
198,DOM-DOM,mae,1179.5316585286457,527.2201005260998,14,652.3115580025459
648,DOM-DOM,mae,920.1955048828125,273.2589181086627,44,646.9365867741499
273,DOM-DOM,mae,1045.7750211588543,408.38250822003346,19,637.3925129388208
333,DOM-DOM,mae,1702.4690625,1067.1293319960498,23,635.3397305039502
408,DOM-DOM,mae,944.8844433593753,319.2523562767879,28,625.6320870825873
393,DOM-DOM,mae,963.1023535156252,379.67121835584595,27,583.4311351597792
3,DOM-DOM,mae,1327.213166341146,744.1058958512131,1,583.107270489933
633,DOM-DOM,mae,905.83611328125,323.02605733471665,43,582.8100559465333
258,DOM-DOM,mae,951.4352701822917,386.321849790867,18,565.1134203914246
363,DOM-DOM,mae,770.3321484375,214.80592451336665,25,555.5262239241333
528,DOM-DOM,mae,873.8485595703127,325.0698134422043,36,548.7787461281084
183,DOM-DOM,mae,1410.6791601562502,874.893155266217,13,535.7860048900332
768,DOM-DOM,mae,686.2267184244791,168.36916524151692,52,517.8575531829622
1068,DOM-DOM,mae,972.2279365234375,468.02019302188364,72,504.20774350155386
378,DOM-DOM,mae,806.258712565104,306.3180212999084,26,499.9406912651956
93,DOM-DOM,mae,836.3293551432292,351.4713493849956,7,484.8580057582336
513,DOM-DOM,mae,616.2706901041666,132.3927521068209,35,483.8779379973457
858,DOM-DOM,mae,693.7968352864585,223.0801313464332,58,470.71670394002535
798,DOM-DOM,mae,677.2464078776043,208.31109132071228,54,468.93531655689196
18,DOM-DOM,mae,1924.8808929036459,1466.8450879975542,2,458.0358049060917
843,DOM-DOM,mae,679.6692770182292,246.92925005288762,57,432.7400269653416
483,DOM-DOM,mae,772.4748616536457,341.16505993110417,33,431.3098017225415
933,DOM-DOM,mae,691.2970319010419,264.0482576296754,63,427.2487742713665
783,DOM-DOM,mae,813.6995690104168,416.34921327468766,53,397.3503557357291
498,DOM-DOM,mae,539.5453141276042,149.0588815154042,34,390.4864326122
318,DOM-DOM,mae,1020.0246533203123,637.9187116922457,22,382.1059416280666
153,DOM-DOM,mae,855.0167509765624,481.1900696685625,11,373.82668130799993
588,DOM-DOM,mae,1561.6021093749998,1216.8740306991665,40,344.72807867583333
288,DOM-DOM,mae,1001.032755533854,656.9980368837503,20,344.03471865010374
723,DOM-DOM,mae,524.6600664062499,187.6541100758042,49,337.00595633044577
348,DOM-DOM,mae,792.9605615234374,458.68484160593334,24,334.27571991750403
678,DOM-DOM,mae,1009.8195253906251,684.0299208998543,46,325.7896044907708
78,DOM-DOM,mae,874.4285208333331,550.98847539,6,323.44004544333313
813,DOM-DOM,mae,540.3700712890625,245.84005187232083,55,294.53001941674165
753,DOM-DOM,mae,934.975054361979,644.4696623749876,51,290.5053919869914
243,DOM-DOM,mae,1640.6142692057292,1420.6642464168417,17,219.9500227888875
573,DOM-DOM,mae,1300.6991210937497,1088.8623922878667,39,211.836728805883
693,DOM-DOM,mae,389.87108300781273,181.51700031585824,47,208.3540826919545
708,DOM-DOM,mae,477.28848177083324,275.17234849123344,48,202.1161332795998
738,DOM-DOM,mae,1168.7141067708333,1002.8039384021334,50,165.91016836869983
1023,DOM-DOM,mae,804.5779140625,645.2864128080581,69,159.29150125444187
1053,DOM-DOM,mae,983.6909375000001,841.2075461007502,71,142.48339139924997
663,DOM-DOM,mae,1184.9944488932292,1044.3632465176624,45,140.63120237556677
453,DOM-DOM,mae,873.4310725911458,756.691616313779,31,116.7394562773668
63,DOM-DOM,mae,847.1164833984376,733.3890646845124,5,113.7274187139252
1008,DOM-DOM,mae,844.4171842447917,745.9640330919248,68,98.4531511528669
888,DOM-DOM,mae,428.87770638020817,345.0539011623873,60,83.82380521782085
918,DOM-DOM,mae,707.562734049479,689.428877447904,62,18.133856601574962
48,DOM-DOM,mae,1070.6019117838543,1057.278346792217,4,13.32356499163734
