,unique_id,metric,LSTM,ARH(1),n_day,difference
276,JC-JC,mae,1117.1606624348958,511.4609195978742,19,605.6997428370216
231,JC-JC,mae,720.2452122395833,247.94160998953544,16,472.3036022500479
621,JC-JC,mae,478.5575633951823,119.2614478192463,42,359.29611557593597
471,JC-JC,mae,892.4129572753906,586.3820135567679,32,306.03094371862267
216,JC-JC,mae,519.8321098632813,227.6654778868566,15,292.1666319764247
126,JC-JC,mae,407.1611236165364,118.63441847994625,9,288.5267051365901
96,JC-JC,mae,433.8119159342448,155.9113585957775,7,277.90055733846725
756,JC-JC,mae,508.7108630777995,255.52599320273953,51,253.18486987505997
396,JC-JC,mae,359.75827823893223,109.27584980794335,27,250.48242843098888
411,JC-JC,mae,363.2735443522135,123.70021395866041,28,239.57333039355308
21,JC-JC,mae,503.26931738281246,263.8122858862428,2,239.45703149656964
111,JC-JC,mae,290.712224202474,63.38806764137913,8,227.32415656109484
336,JC-JC,mae,533.3981009114583,312.14384139097035,23,221.25425952048795
546,JC-JC,mae,387.50646476236983,166.61643784384043,37,220.8900269185294
576,JC-JC,mae,375.97188932291675,155.14289204250298,39,220.82899728041377
951,JC-JC,mae,363.5285213623047,145.68580502789752,64,217.84271633440716
561,JC-JC,mae,352.3084837239583,136.49539507153386,38,215.81308865242445
366,JC-JC,mae,279.4869535725911,83.93876865176375,25,195.54818492082737
201,JC-JC,mae,448.3559042154948,258.63614068351825,14,189.71976353197653
381,JC-JC,mae,348.80572444661465,164.6933230465963,26,184.11240140001834
531,JC-JC,mae,245.10200752766926,82.6859667131334,36,162.41604081453585
651,JC-JC,mae,294.5748610026042,145.73916850118795,44,148.83569250141628
141,JC-JC,mae,447.8469077148438,299.0924381807329,10,148.75446953411085
6,JC-JC,mae,297.85090901692706,150.76096930691372,1,147.08993971001334
426,JC-JC,mae,592.1623194986979,448.69834995363254,29,143.46396954506537
846,JC-JC,mae,259.0712986653645,115.86967903423164,57,143.20161963113287
186,JC-JC,mae,529.0368022460938,386.80061352598244,13,142.23618872011133
351,JC-JC,mae,238.43902884928391,98.85418528006089,24,139.58484356922304
771,JC-JC,mae,202.12921525065107,67.37922335953384,52,134.74999189111725
486,JC-JC,mae,189.22331156412758,56.35669714680582,33,132.86661441732176
156,JC-JC,mae,365.10936848958335,234.4709565986116,11,130.63841189097175
321,JC-JC,mae,400.70796354166663,276.0584384188974,22,124.6495251227692
1056,JC-JC,mae,221.3291144205729,99.49715493529708,71,121.83195948527582
81,JC-JC,mae,231.49669726562493,115.6242550204687,6,115.87244224515624
456,JC-JC,mae,323.49521818033855,215.15287715649075,31,108.34234102384781
606,JC-JC,mae,894.483053141276,786.1826919159926,41,108.30036122528338
66,JC-JC,mae,156.17896077473964,51.47882806430753,5,104.70013271043211
51,JC-JC,mae,349.90054711914064,249.69228817853465,4,100.20825894060599
591,JC-JC,mae,642.963016031901,544.2448356004332,40,98.71818043146777
936,JC-JC,mae,162.1322226155599,64.95534879095342,63,97.17687382460647
171,JC-JC,mae,354.0561492513021,259.09306885996375,12,94.96308039133834
261,JC-JC,mae,455.7643444010417,363.64815145753005,18,92.11619294351163
801,JC-JC,mae,146.64735701497398,59.772646205210044,54,86.87471080976394
966,JC-JC,mae,258.2828999023438,172.84713637685252,65,85.43576352549127
681,JC-JC,mae,317.84872310384117,235.2949129068983,46,82.55381019694286
36,JC-JC,mae,244.76548860677084,163.42876011318123,3,81.33672849358962
711,JC-JC,mae,139.19469087727865,58.36578380276624,48,80.82890707451241
501,JC-JC,mae,169.4883952636719,88.78805261023295,34,80.70034265343894
696,JC-JC,mae,136.8472089029948,56.387830778627894,47,80.4593781243669
516,JC-JC,mae,244.6132058919271,164.90259133747375,35,79.71061455445334
831,JC-JC,mae,175.0533857421875,103.78245490799081,56,71.27093083419668
441,JC-JC,mae,555.2985065917968,491.2815693323405,30,64.01693725945631
816,JC-JC,mae,152.34953877766927,90.31095562641535,55,62.03858315125392
861,JC-JC,mae,285.16795861816405,224.13753997150215,58,61.0304186466619
1071,JC-JC,mae,165.30860213216144,104.57932077418957,72,60.72928135797187
741,JC-JC,mae,239.98701041666664,184.06229382072124,50,55.9247165959454
786,JC-JC,mae,175.15327062988283,127.45889030670371,53,47.69438032317912
636,JC-JC,mae,329.3868937988281,296.64819688072,43,32.73869691810813
876,JC-JC,mae,151.44250207519534,121.8973868073166,59,29.545115267878742
1086,JC-JC,mae,119.02424951171872,91.00658790211037,73,28.017661609608354
1041,JC-JC,mae,143.41218204752602,116.64508325666831,70,26.767098790857702
666,JC-JC,mae,534.0401787109375,522.8873643142164,45,11.152814396721169
246,JC-JC,mae,716.5546325683594,705.4634882860174,17,11.09114428234193
906,JC-JC,mae,70.99745613606767,70.10388668237708,61,0.8935694536905885
726,JC-JC,mae,137.51206604003906,139.87603673262205,49,-2.3639706925829955
891,JC-JC,mae,153.15666634114584,156.54570673059126,60,-3.3890403894454266
921,JC-JC,mae,269.7046311035156,273.8014631137358,62,-4.096832010220169
996,JC-JC,mae,71.24740588378906,78.9586457435512,67,-7.711239859762145
1011,JC-JC,mae,108.57768599446617,125.32355389954334,68,-16.745867905077176
1026,JC-JC,mae,270.18510017903645,299.79081076592456,69,-29.605710586888108
291,JC-JC,mae,222.13433585611983,272.0528134950991,20,-49.918477638979255
981,JC-JC,mae,69.75795454915362,170.57324415252916,66,-100.81528960337553
306,JC-JC,mae,650.8297200520833,778.4967001849485,21,-127.6669801328652
