,unique_id,metric,LSTM,ARH(1),n_day,difference
144,PN-PN,mae,257.6370555013021,57.25991178482044,10,200.37714371648164
564,PN-PN,mae,238.05731693522134,58.97946240678252,38,179.07785452843882
219,PN-PN,mae,265.2013036295573,112.19902777939042,15,153.00227585016688
774,PN-PN,mae,227.95475968424478,77.81733004156663,52,150.13742964267814
639,PN-PN,mae,254.2301693929036,118.13270608633002,43,136.0974633065736
249,PN-PN,mae,214.24516015625002,90.64756043626501,17,123.59759971998501
354,PN-PN,mae,174.39026513671874,67.99428769762251,24,106.39597743909623
1059,PN-PN,mae,140.89745564778647,37.10755228484538,71,103.78990336294109
849,PN-PN,mae,159.43207035319008,55.76040637642953,57,103.67166397676056
324,PN-PN,mae,317.16981526692706,217.5949643276158,22,99.57485093931126
114,PN-PN,mae,180.96405110677082,86.39818026802418,8,94.56587083874665
234,PN-PN,mae,182.7723437093099,93.7438253153021,16,89.02851839400779
624,PN-PN,mae,142.1907439778646,57.58149319571083,42,84.60925078215377
879,PN-PN,mae,159.41308166503907,75.76203086074997,59,83.6510508042891
1089,PN-PN,mae,195.25701045735673,112.32664965239788,73,82.93036080495885
39,PN-PN,mae,150.62846350097655,72.15388939426083,3,78.47457410671572
954,PN-PN,mae,141.61419775390624,63.95167614614999,64,77.66252160775625
129,PN-PN,mae,192.7172647705078,115.9315448239425,9,76.7857199465653
504,PN-PN,mae,100.16543216959637,25.450156783522903,34,74.71527538607347
789,PN-PN,mae,127.49723636881514,53.85114033598293,53,73.6460960328322
399,PN-PN,mae,109.48390254720054,35.90461042937753,27,73.57929211782302
429,PN-PN,mae,98.29424186197912,26.077128589107037,29,72.21711327287208
549,PN-PN,mae,161.7504288330078,90.42754320652669,37,71.3228856264811
384,PN-PN,mae,99.65076383463538,30.447525922579587,26,69.2032379120558
99,PN-PN,mae,127.2979276123047,60.825850355918725,7,66.47207725638597
204,PN-PN,mae,193.5708757324219,127.30016374943672,14,66.27071198298519
84,PN-PN,mae,122.47853230794271,57.802448182180854,6,64.67608412576186
579,PN-PN,mae,157.96186490885418,93.61557039688832,39,64.34629451196587
654,PN-PN,mae,103.16245902506512,39.98933487544249,44,63.17312414962263
714,PN-PN,mae,89.64858565266927,27.136119935495845,48,62.51246571717343
534,PN-PN,mae,125.56018815104166,63.480566111220405,36,62.07962203982125
369,PN-PN,mae,116.45515873209638,55.74262983389045,25,60.71252889820593
1044,PN-PN,mae,93.51165848795574,33.32024897007292,70,60.191409517882825
69,PN-PN,mae,122.58717651367185,63.70319667110243,5,58.88397984256942
594,PN-PN,mae,95.58472993977863,36.951380566444975,40,58.63334937333365
819,PN-PN,mae,80.75662740071614,22.479139277879995,55,58.27748812283615
684,PN-PN,mae,177.67140185546876,120.10640899465166,46,57.5649928608171
924,PN-PN,mae,103.65746293131512,47.24430167805914,62,56.413161253255986
189,PN-PN,mae,156.88069091796874,101.68319656709878,13,55.19749435086996
609,PN-PN,mae,113.01265026855465,58.04063283340667,41,54.97201743514798
804,PN-PN,mae,105.29314742024741,51.021605460919595,54,54.27154195932781
999,PN-PN,mae,75.36815865071613,21.32827539422871,67,54.039883256487414
474,PN-PN,mae,101.82549609375,48.89125453756001,32,52.934241556189995
984,PN-PN,mae,128.2518186035156,75.78081263515915,66,52.47100596835645
1029,PN-PN,mae,99.39256510416669,46.98253985514001,69,52.41002524902668
264,PN-PN,mae,142.28668684895834,90.71510311084587,18,51.571583738112466
699,PN-PN,mae,74.30414892578123,24.276901330298767,47,50.027247595482464
24,PN-PN,mae,135.23787805175783,86.33031821679413,2,48.907559834963706
909,PN-PN,mae,76.539182820638,29.706821504119592,61,46.832361316518416
744,PN-PN,mae,247.8792279052734,201.6608817610908,50,46.21834614418262
519,PN-PN,mae,68.43076822916667,23.52733822801837,35,44.90343000114831
939,PN-PN,mae,66.86741044108074,28.945255254002046,63,37.92215518707869
414,PN-PN,mae,103.41542443847656,67.04058558555458,28,36.37483885292198
444,PN-PN,mae,92.65843705240884,58.88900154865461,30,33.76943550375423
159,PN-PN,mae,116.68258719889324,84.95857450796585,11,31.724012690927395
894,PN-PN,mae,57.75987715657553,26.189008951139176,60,31.57086820543635
669,PN-PN,mae,239.05354805501304,209.99716098361753,45,29.056387071395505
834,PN-PN,mae,79.95890551757813,51.964255425926645,56,27.994650091651486
279,PN-PN,mae,146.12949707031245,122.06972061731501,19,24.05977645299744
489,PN-PN,mae,78.98388850911456,57.47845798459334,33,21.505430524521223
864,PN-PN,mae,100.42085034179688,82.61525494217499,58,17.805595399621893
759,PN-PN,mae,83.41437634277342,66.07117339002416,51,17.343202952749266
339,PN-PN,mae,118.19901733398437,100.9846021632517,23,17.21441517073268
309,PN-PN,mae,82.2505535888672,67.79770598663961,21,14.452847602227592
1014,PN-PN,mae,87.43603088378904,74.03780115012836,68,13.398229733660685
294,PN-PN,mae,121.45757743326823,115.58281940233748,20,5.874758030930749
729,PN-PN,mae,56.188181599934886,56.53578174111126,49,-0.34760014117637184
9,PN-PN,mae,143.36113444010417,147.0772368432612,1,-3.7161024031570378
1074,PN-PN,mae,65.58512512207032,71.9522292910404,72,-6.367104168970073
969,PN-PN,mae,72.61625073242185,80.8475551216175,65,-8.231304389195657
459,PN-PN,mae,96.40814180501297,111.21523369760332,31,-14.80709189259035
54,PN-PN,mae,144.85733312988282,191.49599622953622,4,-46.6386630996534
174,PN-PN,mae,189.40130517578123,257.9914829502134,12,-68.59017777443219
