,unique_id,metric,LSTM,ARH(1),n_day,difference
222,RTO-RTO,mae,12307.641562499999,3034.415510147643,15,9273.226052352356
642,RTO-RTO,mae,10450.011994791668,1331.0574703452214,43,9118.954524446446
282,RTO-RTO,mae,13045.350348958333,4067.2824683446656,19,8978.067880613668
327,RTO-RTO,mae,10967.155736979168,2280.882680494367,22,8686.2730564848
567,RTO-RTO,mae,11312.251268229165,3089.4035398976944,38,8222.847728331471
627,RTO-RTO,mae,11849.847158854167,4190.681460378953,42,7659.165698475214
477,RTO-RTO,mae,12873.790914062498,5318.707601328216,32,7555.083312734282
552,RTO-RTO,mae,10466.7072109375,3574.0400133745075,37,6892.667197562992
102,RTO-RTO,mae,7717.786348958335,876.245292957492,7,6841.541056000843
777,RTO-RTO,mae,8545.696578125002,2045.8927231983628,52,6499.803854926639
147,RTO-RTO,mae,8969.757825520834,2578.597867042033,10,6391.1599584788
132,RTO-RTO,mae,9546.987575520834,3215.884277983237,9,6331.1032975375965
747,RTO-RTO,mae,13579.955059895836,7418.1666146545585,50,6161.788445241277
237,RTO-RTO,mae,10268.216122395832,4155.448723096887,16,6112.767399298945
582,RTO-RTO,mae,8815.468924479166,2995.273735365264,39,5820.1951891139015
27,RTO-RTO,mae,10506.364927083332,4713.370485715766,2,5792.994441367566
192,RTO-RTO,mae,9227.398591145835,3561.545180515315,13,5665.85341063052
357,RTO-RTO,mae,7518.790091145832,1888.8266061463958,24,5629.963484999436
387,RTO-RTO,mae,7188.014747395832,1588.5203225250941,26,5599.494424870738
252,RTO-RTO,mae,12660.717630208334,7192.122907493293,17,5468.594722715041
447,RTO-RTO,mae,7667.8625703125,2213.380789974693,30,5454.481780337806
117,RTO-RTO,mae,7991.341731770834,2603.0032973355083,8,5388.338434435325
597,RTO-RTO,mae,8368.475330729168,3153.3504204630267,40,5215.124910266142
957,RTO-RTO,mae,8157.949783854167,3062.4799045146647,64,5095.469879339503
207,RTO-RTO,mae,8163.770031250002,3089.6924483164216,14,5074.07758293358
852,RTO-RTO,mae,6852.730911458334,2058.7469595453495,57,4793.983951912985
657,RTO-RTO,mae,5827.546078124999,1416.0088663657789,44,4411.537211759221
372,RTO-RTO,mae,6116.357140625,1739.769280904068,25,4376.587859720932
537,RTO-RTO,mae,7984.611507812499,3672.96422497833,36,4311.647282834169
717,RTO-RTO,mae,5791.627343750001,1589.3671982597152,48,4202.260145490286
762,RTO-RTO,mae,6413.667023437501,2360.910727375201,51,4052.7562960622995
942,RTO-RTO,mae,5090.118427083335,1139.418940059817,63,3950.6994870235176
417,RTO-RTO,mae,7197.6591692708325,3315.31703633538,28,3882.3421329354524
807,RTO-RTO,mae,5463.513130208333,1613.9209189947208,54,3849.5922112136122
162,RTO-RTO,mae,6610.323835937502,2953.671019687714,11,3656.652816249788
522,RTO-RTO,mae,5294.844486979167,1750.1960579127579,35,3544.6484290664093
267,RTO-RTO,mae,8443.497520833333,4900.65602463,18,3542.841496203333
402,RTO-RTO,mae,5208.806260416667,1878.7630163419744,27,3330.0432440746927
1062,RTO-RTO,mae,5852.083729166666,2657.608948303258,71,3194.474780863408
177,RTO-RTO,mae,9702.876518229166,6522.417624324873,12,3180.4588939042933
492,RTO-RTO,mae,3816.6659609374988,735.5417078697192,33,3081.1242530677796
507,RTO-RTO,mae,4158.1811718750005,1157.2746832715463,34,3000.906488603454
792,RTO-RTO,mae,5626.726598958335,2672.1719457616077,53,2954.554653196727
612,RTO-RTO,mae,7906.448187500001,4960.525840692296,41,2945.9223468077053
432,RTO-RTO,mae,9443.1229453125,6504.828295738084,29,2938.2946495744154
1077,RTO-RTO,mae,4347.249640625,1737.885522937695,72,2609.364117687305
72,RTO-RTO,mae,4711.874848958332,2136.088594762679,5,2575.7862541956533
87,RTO-RTO,mae,5500.216424479167,2945.777834780038,6,2554.4385896991284
822,RTO-RTO,mae,4474.1916328125,1926.9215746213115,55,2547.2700581911886
702,RTO-RTO,mae,4117.150835937501,1748.337004123395,47,2368.8138318141064
927,RTO-RTO,mae,6492.812968750001,4129.128366186857,62,2363.684602563144
342,RTO-RTO,mae,8517.742216145833,6235.255068401192,23,2282.4871477446404
1092,RTO-RTO,mae,5905.397138020834,3654.5106143250214,73,2250.8865236958127
837,RTO-RTO,mae,3842.769309895835,1878.2767129681858,56,1964.492596927649
867,RTO-RTO,mae,6240.401018229168,4283.154756175885,58,1957.2462620532824
12,RTO-RTO,mae,7427.660078125001,5598.292957390881,1,1829.3671207341195
672,RTO-RTO,mae,11729.296153645832,10295.32056498946,45,1433.9755886563707
972,RTO-RTO,mae,8049.368705729168,6710.1091911293925,65,1339.2595145997757
912,RTO-RTO,mae,3908.4805494791676,2601.1669215321285,61,1307.313627947039
897,RTO-RTO,mae,3000.4950598958317,2025.6404171091665,60,974.8546427866652
1047,RTO-RTO,mae,3540.7064401041657,2647.3190227616556,70,893.3874173425102
297,RTO-RTO,mae,5760.847455729167,5071.119161087523,20,689.7282946416444
57,RTO-RTO,mae,9065.000611979165,8414.182428088014,4,650.8181838911514
312,RTO-RTO,mae,4508.576473958334,4015.815969068977,21,492.7605048893565
1032,RTO-RTO,mae,4719.843054687501,4574.678539387055,69,145.1645153004456
1002,RTO-RTO,mae,2563.466825520833,2687.6415242780404,67,-124.17469875720735
687,RTO-RTO,mae,3000.359960937499,3235.756497803491,46,-235.39653686599195
1017,RTO-RTO,mae,3866.1547031250007,4275.227195881161,68,-409.07249275616005
42,RTO-RTO,mae,4091.0939192708342,4582.376305261326,3,-491.28238599049155
462,RTO-RTO,mae,4121.450838541666,4730.670629673018,31,-609.2197911313524
882,RTO-RTO,mae,3552.913135416667,4343.433082640341,59,-790.5199472236741
732,RTO-RTO,mae,3908.2931536458345,5077.6864454646575,49,-1169.393291818823
987,RTO-RTO,mae,1987.302213541666,4836.002302291816,66,-2848.70008875015
